,symbol,open,high,low,close,last,prevclose,tottrdqty_lakhs,tottrdval_lakhs,timestamp,totaltrades,deliverypercent,deliveryvalue_lakhs,week,month,year,5days_vwap,sma_20_close,sma_50_close,sma_124_close,sma_150_close,sma_200_close,sma_9_high,ema_5_close,ema_15_close,ema_20_close,ema_50_high,ema_50_low,Bearish_crossover,Bullish_crossover,Triveni_Sangam,DMA_Convergence,Close_Below_MonthlyBB,Close_Above_MonthlyBB,Close_Below_WeeklyBB,Close_Above_WeeklyBB,ATFEMA_15C_Above_50H_and_50L,ATFEMA_15C_Below_50H_and_50L,MonthlyEMA_15C_Below_50H_and_50L,WeeklyEMA_15C_Below_50H_and_50L,DailyEMA_15C_Below_50H_and_50L,MonthlyEMA_15C_Above_50H_and_50L,WeeklyEMA_15C_Above_50H_and_50L,DailyEMA_15C_Above_50H_and_50L,MonthlyEMA_5C_Above_20C,WeeklyEMA_5C_Above_20C,DailyEMA_5C_Above_20C
46,ACC,1425.0,1429.95,1408.55,1415.4,1415.9,1400.0,5.681,8042.17,2017-03-14,12367,75.71,6089.0,11.0,3.0,2017.0,1835.5042643274057,1428.3475,,,,,1417.6111111111109,1404.9831476021575,1413.5907778937521,1415.0410300088267,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
47,ACC,1426.0,1431.45,1418.0,1420.4,1420.05,1415.4,2.304,3281.41,2017-03-15,7838,47.31,1552.0,11.0,3.0,2017.0,1832.4221097487946,1424.9900000000002,,,,,1418.661111111111,1410.1220984014383,1414.441930657033,1415.5514081032243,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
48,ACC,1428.9,1431.0,1419.0,1422.0,1425.0,1420.4,2.843,4047.02,2017-03-16,10803,52.37,2119.0,11.0,3.0,2017.0,1819.98680005522,1422.8125000000002,,,,,1417.7888888888888,1414.081398934292,1415.386689324904,1416.165559712441,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
49,ACC,1425.5,1427.9,1403.3,1411.5,1408.45,1422.0,2.486,3513.69,2017-03-17,12099,50.32,1768.0,11.0,3.0,2017.0,1804.8620396529777,1421.2425,1405.3359999999996,,,,1419.011111111111,1413.2209326228615,1414.900853159291,1415.7212206922086,1421.4059999999997,1391.4969999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
50,ACC,1417.45,1417.45,1405.5,1408.7,1410.8,1411.5,2.261,3190.11,2017-03-20,10795,37.12,1184.0,12.0,3.0,2017.0,1788.2839698940904,1418.8850000000002,1407.1219999999996,,,,1420.1277777777777,1411.7139550819077,1414.1257465143797,1415.0525330072364,1421.2508627450977,1392.0461372549019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,ACC,1411.0,1421.2,1406.05,1413.05,1414.0,1408.7,1.658,2346.01,2017-03-21,10013,38.0,891.0,12.0,3.0,2017.0,1748.34046732327,1416.2525,1408.7259999999994,,,,1423.038888888889,1412.1593033879385,1413.9912782000822,1414.861815577976,1421.248868127643,1392.595308342945,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,ACC,1408.9,1411.8,1383.85,1386.4,1386.0,1413.05,1.57,2189.75,2017-03-22,9846,34.89,764.0,12.0,3.0,2017.0,1717.9470982326827,1412.5400000000002,1409.7759999999994,,,,1423.35,1403.5728689252924,1410.542368425072,1412.1511664753116,1420.8783242795,1392.252355074594,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,ACC,1389.0,1404.7,1380.4,1400.75,1398.85,1386.4,1.959,2731.85,2017-03-23,7747,36.77,1005.0,12.0,3.0,2017.0,1678.9032310102552,1409.2050000000002,1411.2339999999995,,,,1421.1611111111113,1402.6319126168617,1409.318322371938,1411.0653410967104,1420.2438801901078,1391.7875568363747,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,ACC,1400.4,1410.0,1393.1,1396.45,1393.1,1400.75,1.99,2788.14,2017-03-24,10438,56.82,1584.0,12.0,3.0,2017.0,1651.201239765499,1406.6475000000003,1412.7709999999993,,,,1420.6055555555556,1400.5712750779078,1407.7097820754457,1409.6734038494046,1419.842159398339,1391.8390251957326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,ACC,1396.45,1403.0,1390.85,1396.8,1395.7,1396.45,3.624,5065.0,2017-03-27,20040,69.53,3522.0,13.0,3.0,2017.0,1642.9217652718767,1404.5825000000002,1413.7329999999993,,,,1417.611111111111,1399.314183385272,1406.346059316015,1408.4473653875566,1419.1816825591884,1391.800239893939,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
56,ACC,1396.8,1423.7,1396.8,1417.2,1418.0,1396.8,3.006,4253.19,2017-03-28,17883,33.32,1417.0,13.0,3.0,2017.0,1645.9456190142303,1404.5675000000003,1415.2449999999992,,,,1416.75,1405.2761222568479,1407.702801901513,1409.2809496363607,1419.358871478436,1391.996308917706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
57,ACC,1419.0,1435.1,1417.0,1423.35,1418.65,1417.2,3.142,4485.9,2017-03-29,16454,45.44,2038.0,13.0,3.0,2017.0,1646.7981496066252,1405.1600000000003,1417.1219999999992,,,,1417.2055555555555,1411.3007481712318,1409.6587016638239,1410.6208591948025,1419.9761706361444,1392.9768458228941,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
58,ACC,1424.4,1430.5,1412.5,1418.95,1423.8,1423.35,4.056,5762.71,2017-03-30,22908,54.03,3114.0,13.0,3.0,2017.0,1659.1514606408853,1405.6600000000003,1418.8809999999992,,,,1417.4944444444445,1413.8504987808212,1410.820113955846,1411.4141107000594,1420.3888698268838,1393.7424597121924,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
59,ACC,1422.1,1450.0,1422.1,1446.05,1450.0,1418.95,4.257,6143.34,2017-03-31,20478,38.75,2381.0,13.0,3.0,2017.0,1678.2720173045616,1407.5700000000002,1421.2239999999993,,,,1421.111111111111,1424.5836658538808,1415.2238497113651,1414.7127668238631,1421.5500906179864,1394.8545201156358,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
60,ACC,1470.0,1476.4,1455.5,1461.95,1457.0,1446.05,4.411,6469.36,2017-04-03,31457,51.48,3330.0,14.0,4.0,2017.0,1694.4218854529697,1410.9825000000003,1423.4689999999994,,,,1427.2444444444443,1437.0391105692538,1421.0646184974444,1419.2115509358762,1423.7010674564967,1397.232774228748,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
61,ACC,1462.35,1477.0,1453.15,1470.2,1466.05,1461.95,2.823,4136.27,2017-04-05,17305,40.08,1658.0,14.0,4.0,2017.0,1707.3337556271479,1414.8200000000002,1425.6519999999991,,,,1434.4888888888888,1448.0927403795026,1427.2065411852639,1424.067593703888,1425.791221673889,1399.4256066119344,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
62,ACC,1463.25,1494.95,1458.55,1489.75,1489.95,1470.2,2.867,4237.99,2017-04-06,14654,43.9,1860.0,14.0,4.0,2017.0,1720.6682185156485,1419.9400000000003,1428.9179999999992,,,,1444.5166666666667,1461.9784935863352,1435.024473537106,1430.3230609701843,1428.503330627854,1401.7442102742116,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
63,ACC,1480.0,1489.5,1461.45,1468.1,1470.0,1489.75,1.868,2763.84,2017-04-07,7939,32.68,903.0,14.0,4.0,2017.0,1729.2111900992768,1423.4475000000002,1431.5859999999996,,,,1453.35,1464.0189957242235,1439.1589143449676,1433.9208646873096,1430.895356877742,1404.08561379287,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
64,ACC,1471.5,1478.0,1465.55,1473.8,1470.15,1468.1,1.616,2378.34,2017-04-10,8655,34.22,814.0,15.0,4.0,2017.0,1731.6736048291875,1427.0400000000002,1433.8899999999994,,,,1461.6833333333334,1467.2793304828156,1443.4890500518466,1437.7188775742325,1432.742597784497,1406.495981879424,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
65,ACC,1468.0,1493.55,1458.05,1489.9,1491.0,1473.8,2.316,3434.21,2017-04-11,13062,32.03,1100.0,15.0,4.0,2017.0,1741.7733387015423,1431.5350000000003,1435.6999999999994,,,,1469.4444444444443,1474.8195536552105,1449.2904187953657,1442.6885082814483,1435.1272017929482,1408.517708080231,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
66,ACC,1482.35,1507.75,1476.0,1494.55,1495.0,1489.9,3.207,4790.06,2017-04-12,14339,29.1,1394.0,15.0,4.0,2017.0,1757.6585561621862,1435.4925,1436.9779999999996,,,,1477.5166666666664,1481.3963691034737,1454.947866445945,1447.6276979689294,1437.9751546638129,1411.1640724692415,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
67,ACC,1490.0,1512.0,1487.25,1494.15,1487.3,1494.55,5.677,8538.32,2017-04-13,10160,41.22,3519.0,15.0,4.0,2017.0,1777.1039291474347,1439.18,1438.2929999999997,,,,1486.572222222222,1485.6475794023158,1459.848133140202,1452.0583934004599,1440.878089775036,1414.1478343331928,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
68,ACC,1493.4,1514.75,1475.0,1503.2,1508.35,1494.15,5.599,8390.13,2017-04-17,14229,37.62,3156.0,16.0,4.0,2017.0,1772.7199494334966,1443.2400000000002,1440.0869999999995,,,,1493.7666666666664,1491.4983862682107,1465.2671164976769,1456.9290226004161,1443.775027430917,1416.5341937711069,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
69,ACC,1504.85,1519.45,1482.1,1492.85,1495.0,1503.2,3.563,5358.52,2017-04-18,14364,52.83,2831.0,16.0,4.0,2017.0,1773.4596146661145,1447.3075000000001,1440.5729999999996,,,,1498.55,1491.9489241788071,1468.7149769354673,1460.3500680670431,1446.742673414018,1419.1054018585144,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
